LTE_5g_Category,Time,Packet_Loss_Rate,Packet_delay,IoT,LTE_5G,GBR,Non_GBR,AR_VR_Gaming,Healthcare,Industry_4_0,IoT_Devices,Public_Safety,Smart_City_Home,Smart_Transportation,Smartphone,slice_Type,slice_type_label
13,2,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3,mMTC
7,11,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
7,9,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
3,10,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2,URLLC
14,20,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3,mMTC
6,1,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1,eMBB
12,16,1.00E-06,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
6,1,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
17,21,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
4,0,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2,URLLC
9,6,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
16,20,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
5,18,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3,mMTC
11,5,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
20,7,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
22,16,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2,URLLC
16,23,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3,mMTC
20,17,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1,eMBB
16,15,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
20,14,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
21,10,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2,URLLC
5,3,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1,eMBB
5,11,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1,eMBB
19,22,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3,mMTC
18,10,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
4,0,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2,URLLC
11,5,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
9,2,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
3,3,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3,mMTC
9,17,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3,mMTC
18,0,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1,eMBB
3,17,1.00E-06,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
20,23,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1,eMBB
6,21,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
21,20,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2,URLLC
18,16,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2,URLLC
17,8,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3,mMTC
22,21,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2,URLLC
7,1,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
9,10,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
12,0,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
9,10,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
16,12,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
16,11,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
12,11,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
7,13,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3,mMTC
7,20,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
5,1,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
15,3,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3,mMTC
13,19,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
20,21,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2,URLLC
16,23,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3,mMTC
1,3,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3,mMTC
4,3,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
4,19,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
1,13,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3,mMTC
3,12,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3,mMTC
18,16,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3,mMTC
20,5,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
8,0,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2,URLLC
21,11,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3,mMTC
20,23,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2,URLLC
12,5,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
20,9,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
3,8,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
6,13,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2,URLLC
14,4,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
9,3,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
2,20,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2,URLLC
11,7,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
15,23,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3,mMTC
19,15,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
7,9,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
11,6,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3,mMTC
19,20,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
18,20,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2,URLLC
11,15,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
18,10,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2,URLLC
3,21,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3,mMTC
10,14,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2,URLLC
15,7,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
6,12,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
1,19,1.00E-06,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
20,6,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
20,4,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
19,21,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
11,21,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2,URLLC
6,8,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2,URLLC
8,13,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2,URLLC
14,10,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3,mMTC
4,2,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1,eMBB
20,22,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
10,10,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
5,6,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3,mMTC
16,14,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1,eMBB
7,4,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
2,16,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3,mMTC
20,10,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3,mMTC
15,5,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3,mMTC
7,8,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
21,3,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3,mMTC
11,7,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
20,16,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
11,2,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3,mMTC
2,17,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
12,1,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
3,5,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1,eMBB
1,12,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
13,13,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2,URLLC
14,17,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3,mMTC
8,11,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1,eMBB
10,16,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3,mMTC
6,12,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3,mMTC
19,5,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1,eMBB
15,11,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2,URLLC
14,8,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
11,13,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
19,11,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3,mMTC
15,21,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
2,1,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3,mMTC
9,4,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1,eMBB
14,20,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2,URLLC
11,12,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
12,1,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
14,21,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
14,10,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2,URLLC
6,10,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
4,23,1.00E-06,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
17,2,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2,URLLC
7,13,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
18,19,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2,URLLC
10,10,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2,URLLC
10,18,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
8,4,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2,URLLC
8,8,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1,eMBB
15,5,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
4,2,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2,URLLC
6,5,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
8,0,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
18,1,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
11,13,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
14,5,1.00E-06,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
3,3,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3,mMTC
8,21,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2,URLLC
17,19,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2,URLLC
8,17,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2,URLLC
17,5,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2,URLLC
11,12,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3,mMTC
4,20,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3,mMTC
13,3,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3,mMTC
1,3,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2,URLLC
16,9,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2,URLLC
15,9,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2,URLLC
10,11,1.00E-06,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
8,1,1.00E-06,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
14,13,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2,URLLC
17,22,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1,eMBB
2,16,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
12,11,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
21,5,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2,URLLC
16,17,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3,mMTC
9,11,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
17,10,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
17,21,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2,URLLC
6,21,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
2,12,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1,eMBB
22,20,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3,mMTC
4,2,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2,URLLC
11,11,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2,URLLC
7,4,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1,eMBB
7,6,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3,mMTC
15,12,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2,URLLC
11,1,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2,URLLC
3,4,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3,mMTC
20,23,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
19,23,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1,eMBB
8,15,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1,eMBB
8,15,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
3,7,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1,eMBB
14,18,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
16,17,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
19,14,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2,URLLC
3,20,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
10,16,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1,eMBB
13,17,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
3,16,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2,URLLC
13,1,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2,URLLC
10,7,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1,eMBB
15,22,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3,mMTC
13,1,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2,URLLC
12,9,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3,mMTC
13,9,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3,mMTC
5,6,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
1,21,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
8,0,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2,URLLC
8,15,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
15,11,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3,mMTC
17,15,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
19,19,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
16,10,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3,mMTC
2,21,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2,URLLC
11,22,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
19,17,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
21,1,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3,mMTC
8,9,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3,mMTC
19,5,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3,mMTC
21,0,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3,mMTC
3,3,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
10,9,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
2,13,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
1,12,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
17,8,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3,mMTC
14,22,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
18,20,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
12,22,1.00E-06,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
5,13,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
4,0,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3,mMTC
22,7,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3,mMTC
15,8,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3,mMTC
11,11,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3,mMTC
22,6,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2,URLLC
6,20,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
11,15,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1,eMBB
22,12,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3,mMTC
19,15,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
9,9,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2,URLLC
16,19,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
13,19,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3,mMTC
22,15,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2,URLLC
16,14,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2,URLLC
11,21,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
18,15,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3,mMTC
8,18,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2,URLLC
9,19,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1,eMBB
3,20,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2,URLLC
3,23,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
8,7,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
19,1,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
10,13,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
21,6,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2,URLLC
8,4,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2,URLLC
9,21,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3,mMTC
3,14,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
2,20,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
14,6,0.001,150,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
20,8,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2,URLLC
20,11,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3,mMTC
7,15,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3,mMTC
14,15,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
14,19,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3,mMTC
18,20,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2,URLLC
1,23,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
4,2,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
20,19,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
16,0,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2,URLLC
20,17,1.00E-06,300,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
8,6,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3,mMTC
16,13,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
20,17,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2,URLLC
4,4,1.00E-06,10,1,0,0,1,0,0,0,0,0,0,1,0,3,mMTC
15,22,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2,URLLC
13,1,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3,mMTC
15,9,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1,eMBB
16,12,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3,mMTC
11,19,0.01,100,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
14,23,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2,URLLC
14,15,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
13,8,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
16,12,1.00E-06,10,1,0,0,1,0,0,0,0,1,0,0,0,3,mMTC
17,16,1.00E-06,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
19,2,0.01,300,1,0,1,0,0,0,0,1,0,0,0,0,2,URLLC
3,14,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1,eMBB
10,3,1.00E-06,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
20,9,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
22,12,1.00E-06,10,1,0,0,1,0,0,1,0,0,0,0,0,3,mMTC
10,8,1.00E-06,300,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
8,2,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1,eMBB
17,22,0.001,100,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
21,8,1.00E-06,10,1,0,0,1,0,1,0,0,0,0,0,0,3,mMTC
9,14,0.01,50,1,0,0,1,0,0,0,0,0,1,0,0,2,URLLC
7,1,1.00E-06,60,0,1,1,0,0,0,0,0,0,0,0,1,1,eMBB
8,3,0.001,50,0,1,0,1,1,0,0,0,0,0,0,0,1,eMBB
1,3,0.01,75,0,1,0,1,0,0,0,0,0,0,0,1,1,eMBB
12,18,0.01,300,1,0,1,0,0,0,0,0,0,1,0,0,2,URLLC
6,7,0.001,100,0,1,1,0,1,0,0,0,0,0,0,0,1,eMBB
8,23,0.001,50,1,0,1,0,0,0,1,0,0,0,0,0,2,URLLC
